ETH,"[-0.0003098751999993965, -0.0010372838000006369, -0.0008398690000001352, -0.0002231346000002077, -0.0003115539999998873, -0.0004057703999995965, 7.847549999951298e-05, -5.907040000067809e-05, -0.0001098155000005363, -0.0001928000000003749, -0.00021034869999994043, -0.00014313399999991817, 0.00015717760000029556, -0.0002662112000001571]"
LTC,"[-3.051999999996724e-05, -3.654000000004487e-05, -3.6110000000064705e-05, -3.697000000002504e-05, -3.051999999996724e-05, -3.051999999996724e-05, 9.311490000001754e-05, 8.493919999999377e-05, -7.008800000001259e-05, 0.00011795299999995734, 0.0001235495000000242, 0.0001325899999999791, 0.00017219599999997116, 7.219599999992e-05]"
BNB,"[1.594128000000694e-05, -8.068298000001306e-05, 0.0001026200399999766, 3.8109079999948395e-05, 4.19412800000174e-05, 0.00015994128000002662, 2.830234999997572e-05, -4.54400000045041e-07, -9.121300000003885e-05, 0.0002477383599999783, -1.194114000000468e-05, -7.493799999984674e-06, 0.00010759599999996539, 2.1486319999972637e-05]"
NEO,"[0.00013204240000003865, 1.9894799999988776e-05, -5.573410000000223e-05, -0.00010604069999999411, 4.625880000002525e-05, 4.625880000002525e-05, -0.00012006780000000106, -0.00019298240000001243, -0.0002790230000000449, -0.00021638519999999772, -0.00021438579999998096, -0.00021115599999998124, -0.00019700639999999935, -3.700640000001698e-05]"
BCC,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
MCO,"[0.0001395030799999919, 0.00013897065999999292, 0.00013900868999999538, 0.00013893262999999047, 0.0001395030799999919, 0.0001395030799999919, 0.00014889648999999672, 0.0001481739199999943, 0.00015163464999998766, 0.00015889837999998768, 0.00015939276999999308, 0.00016019139999999156, 0.00016369015999998738, 0.00016369015999998738]"
WTC,"[1.4881120000000414e-05, 1.4840239999999727e-05, 1.4843159999999855e-05, 1.48373199999996e-05, 1.4881120000000414e-05, 1.4881120000000414e-05, 1.5602359999999928e-05, 1.554687999999971e-05, 1.5812599999999734e-05, 1.6370319999999827e-05, 1.6408280000000385e-05, 1.646959999999975e-05, 1.6738239999999903e-05, 1.6738239999999903e-05]"
LRC,"[-7.833119999997584e-07, -8.044240000001923e-07, -8.029160000000423e-07, -8.059320000000647e-07, -7.833119999997584e-07, -7.833119999997584e-07, -4.108359999999145e-07, -4.394879999999879e-07, -2.41857000000012e-06, -2.130924000000034e-06, -2.1113459999999585e-06, -2.079720000000007e-06, -1.941168000000049e-06, -1.941168000000049e-06]"
QTUM,"[1.1757359999999828e-05, 1.1473719999997023e-05, 1.1493979999999127e-05, 1.145345999999936e-05, 1.1757359999999828e-05, 1.1757359999999828e-05, 1.676157999999983e-05, -3.0427200000016088e-06, -1.1981500000013412e-06, -1.732657999999887e-05, -3.7063069999998535e-05, -4.886000000001722e-06, -3.018400000001087e-06, -3.018400000001087e-06]"
OMG,"[-1.7640039999995416e-05, -1.8068579999996893e-05, -5.503797000000254e-05, -2.3364560000000976e-05, -9.013159999997633e-06, -9.013159999997633e-06, -3.432729999999218e-06, 3.388735999999781e-05, 1.168469999999644e-05, 1.7556039999999663e-05, 3.912284000000099e-05, 3.976879999999738e-05, 4.259871999999998e-05, 1.084456000000067e-05]"
ZRX,"[-5.255027999999662e-06, -5.299505999999954e-06, -5.296329000000211e-06, -5.302683000000253e-06, -4.255027999999772e-06, -4.255027999999772e-06, -3.4703089999998938e-06, -7.530671999999572e-06, -8.241565000000061e-06, -1.063475799999991e-05, -1.0593456999999362e-05, -1.0526739999999758e-05, 5.642623999999597e-06, 1.6426239999994818e-06]"
STRAT,"[-7.734408000000248e-06, -7.786516000000687e-06, -7.782794000000259e-06, -7.79023800000056e-06, -7.734408000000248e-06, -7.734408000000248e-06, -6.815074000000032e-06, -5.827728000000198e-06, -4.430780000000412e-06, -3.719496000000322e-06, -1.5543660000000292e-06, -1.476120000000747e-06, -2.133328000000212e-06, -2.133328000000212e-06]"
KNC,"[1.879814000000035e-05, 1.8681029999999544e-05, 2.0805041000000468e-05, 2.078830699999923e-05, 2.0913812000000755e-05, 2.0913812000000755e-05, 2.9804610000006006e-06, 1.9750511999999664e-05, 9.083549999998608e-06, -4.384722000000396e-06, -1.8033629999999466e-05, -1.679822000000053e-05, -2.2624320000008692e-06, -2.02564560000007e-05]"
FUN,"[-7.740999999999998e-07, -7.744500000000021e-07, -7.744250000000022e-07, -7.744750000000019e-07, -7.740999999999998e-07, -7.740999999999998e-07, -7.679250000000017e-07, -7.684000000000033e-07, -7.661250000000038e-07, -7.613500000000018e-07, -7.610249999999994e-07, -7.605000000000025e-07, -7.582000000000032e-07, -7.582000000000032e-07]"
IOTA,"[1.2205680000001995e-06, 1.1878359999997756e-06, -2.8098260000000708e-06, -1.7566809999999822e-06, -1.7215959999997144e-06, -1.7215959999997144e-06, 3.0386000000048875e-08, -1.4112000000232606e-08, -7.428349999999418e-07, -1.2369760000002782e-06, 9.685730000003056e-07, 1.017859999999926e-06, 2.2922559999996596e-06, 2.2922559999996596e-06]"
LINK,"[8.543254400001033e-05, 2.528868799998918e-05, 2.2370392000006234e-05, 2.520698399999688e-05, 1.643254400001126e-05, 1.643254400001126e-05, 4.4020013000007905e-05, -6.179057600000704e-05, -2.878196000001054e-05, -1.213028000000449e-05, -1.700826100000441e-05, 6.770997999998585e-05, 7.021958400001083e-05, 6.921958399999539e-05]"
MTL,"[2.7672920000004764e-06, 2.7281340000001595e-06, 2.730931000000103e-06, 2.7253370000002164e-06, 2.7672920000004764e-06, 2.7672920000004764e-06, 3.4581510000003535e-06, 3.4050080000003204e-06, 9.659535000000053e-06, 1.0193762000000329e-05, 7.0550460000001756e-06, 7.113719999999879e-06, 7.370768000000139e-06, 7.370768000000139e-06]"
EOS,"[6.067880000002468e-06, 2.7202599999975874e-06, 7.745090000002008e-06, 8.695429999998616e-06, 6.067880000002468e-06, 6.067880000002468e-06, 1.6200600000004783e-06, -1.5851520000000895e-05, -4.429799999998707e-06, 8.980999999996797e-07, -5.77884999999334e-06, 1.6742999999999064e-05, 1.9029200000000302e-05, 5.444480000003083e-06]"
ETC,"[1.8558000000012952e-06, 3.169100000004477e-06, 3.2181500000039165e-06, 3.1200500000050368e-06, -1.4091199999999304e-06, -1.4091199999999304e-06, 3.071363999999299e-05, 4.978111999999868e-05, 2.424739999999481e-05, 2.4788600000000825e-05, 2.5426900000002916e-05, 4.645799999999589e-05, 5.0975199999996333e-05, 5.0975199999996333e-05]"
ZEC,"[0.0002318184000000656, 2.3846800000058012e-05, 2.4416200000061395e-05, 0.00023484159999995313, -0.00028553239999993705, -0.00028553239999993705, -0.0007449646999999971, -0.0012557776000000588, 9.487399999997592e-05, 3.8968000000494385e-06, -0.00019451869999997484, 0.00025833199999993897, 0.00011090080000002445, 0.0005284423999999177]"
BNT,"[1.4300320000000255e-05, 1.4158639999999334e-05, 1.4168759999999559e-05, 1.4148519999999109e-05, 1.0184648000002294e-05, 1.0184648000002294e-05, 1.2683794000001303e-05, 1.2491552000000184e-05, 4.947050000001507e-06, 8.878059999999354e-06, 9.009490000000398e-06, 2.7214259999999158e-05, 2.814594399999981e-05, 2.814594399999981e-05]"
DASH,"[0.00039563199999989254, 0.00038706399999995257, 0.00038767599999985693, 0.0003864519999999061, 0.00039563199999989254, -0.00010436800000007907, -0.00025320400000012456, -0.00023579999999995494, -0.00028006250000004227, -0.00023390200000008576, 0.00047990290000001325, 0.0007044539999999699, -0.00013912240000010456, -0.00013912240000010456]"
TRX,"[6.49680000000194e-08, 6.163599999997604e-08, 6.187399999999648e-08, -1.3860200000000155e-07, -1.3503199999997246e-07, -1.192867999999965e-06, -1.1343289999999825e-06, -1.1388320000000132e-06, -1.1172649999999923e-06, -1.2719979999999824e-06, -1.2689169999999596e-06, -2.0556000000001434e-07, -1.8366400000000698e-07, 8.748079999999769e-07]"
XRP,"[8.589960000002228e-07, 8.266419999999885e-07, 3.289530000000207e-07, 3.24330999999789e-07, 5.8995999999977846e-08, 5.8995999999977846e-08, -4.701870000001218e-07, 4.396799999972778e-08, 6.125149999999802e-07, -4.570199999998081e-08, 4.843670000001521e-07, 3.3293999999989276e-07, 4.457359999998634e-07, 5.457359999999633e-07]"
ENJ,"[2.4435200000003097e-06, 2.425040000000045e-06, 2.426360000000183e-06, 2.4237200000001845e-06, 2.4435200000003097e-06, 2.4435200000003097e-06, 2.7695600000002265e-06, -8.55520000000165e-07, 1.839064999999973e-06, -1.149896000000039e-06, -2.6326839999998854e-06, 2.695119999999718e-06, 2.8169279999998298e-06, 2.8169279999998298e-06]"
STORJ,"[2.5138200000007773e-06, 2.4543900000001397e-06, 2.458634999999987e-06, 2.450145000000292e-06, 2.5138200000007773e-06, 2.5138200000007773e-06, 3.5623350000002495e-06, 4.539743999999457e-06, -2.5970000000041793e-07, 1.0487495999998985e-05, -2.5736339999998805e-06, -4.425500000000415e-06, 3.3830799999995385e-06, 3.3830799999995385e-06]"
VEN,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
KMD,"[-2.9495400000000283e-05, -2.9563300000000625e-05, -2.9558450000000124e-05, -2.9568150000001124e-05, -2.9495400000000283e-05, -2.9495400000000283e-05, -2.8297449999999947e-05, -2.838960000000057e-05, -2.7948250000000564e-05, -2.7021900000000487e-05, -2.6958850000000644e-05, -2.685700000000013e-05, -2.6410800000000733e-05, -2.6410800000000733e-05]"
NULS,"[1.0881080000002541e-06, 1.0551659999999407e-06, 1.0575190000000622e-06, 1.0528129999998192e-06, 1.0881080000002541e-06, 1.0881080000002541e-06, 1.669299000000013e-06, 1.6245919999999247e-06, 1.8387149999998798e-06, 2.288137999999773e-06, 2.318726999999965e-06, 2.3681400000000187e-06, 2.5846159999998177e-06, 2.5846159999998177e-06]"
XMR,"[0.0012477515999998446, -0.0009065572000000089, -0.0003766583000000878, -0.000590198300000111, -0.0005753828000000283, -0.0007753827999999885, -0.0003198042999999018, 0.00040207039999998526, -3.236550000011107e-05, -0.0002732794000002059, -0.0006837387000001627, -0.000662934000000206, -7.178960000018719e-05, -7.178960000018719e-05]"
BAT,"[1.8790839999999199e-06, 1.8515179999997743e-06, 2.8534869999999324e-06, 2.849548999999951e-06, 2.8790840000000873e-06, 2.8790840000000873e-06, 3.3654269999999764e-06, 3.328015999999878e-06, 1.6816599999999738e-06, -1.9416880000000526e-06, 1.0839479999999457e-06, -9.913999999999756e-07, -3.810160000000118e-06, -6.347440000001314e-07]"
GXS,"[-1.804969200000006e-05, -1.8102934000000514e-05, -1.8099131000000046e-05, -1.810673700000043e-05, -1.804969200000006e-05, -1.804969200000006e-05, -1.7110351000000356e-05, -1.7182608000000375e-05, -1.6836535000000484e-05, -1.6110162000000372e-05, -1.6060722999999834e-05, -1.598086000000054e-05, -1.5630984000000182e-05, -1.5630984000000182e-05]"
BTS,"[-7.630280000000059e-07, -7.655060000000269e-07, -7.653290000000229e-07, -7.656830000000309e-07, -7.630280000000059e-07, -7.630280000000059e-07, -7.193089999999944e-07, -1.0226720000000231e-06, -1.006565000000008e-06, -9.727580000000112e-07, -8.704569999999981e-07, -8.667400000000186e-07, -8.504559999999995e-07, -8.504559999999995e-07]"
XZC,"[8.080828000000207e-05, 8.033605999999694e-05, 8.036978999999889e-05, 8.030232999999942e-05, 8.080828000000207e-05, 8.080828000000207e-05, 8.913959000000027e-05, 8.84987199999987e-05, 9.156814999999874e-05, 9.801057999999862e-05, 9.84490700000018e-05, 9.91573999999984e-05, 0.00010226056000000039, 0.00010226056000000039]"
LSK,"[1.521443999999983e-05, 1.5077379999999252e-05, 1.5087169999998817e-05, 1.5067589999997466e-05, 1.521443999999983e-05, 1.521443999999983e-05, 1.763256999999907e-05, 1.7446559999998445e-05, 1.8337449999998867e-05, 2.020733999999802e-05, 3.091819999999856e-05, 3.112399999999793e-05, 3.2025599999998544e-05, 3.2025599999998544e-05]"
MANA,"[1.8609399999999776e-06, 1.851629999999882e-06, 1.8522949999999482e-06, 1.8509649999999545e-06, 1.8609399999999776e-06, 1.8609399999999776e-06, 2.02519499999998e-06, 2.012559999999969e-06, 2.0730749999998967e-06, 2.2000899999999323e-06, 2.2087349999999615e-06, 2.2226999999999665e-06, 2.2838799999999603e-06, 2.2838799999999603e-06]"
ADA,"[-1.4561879999999693e-06, -1.168326000000053e-06, -1.56745899999991e-06, -5.355100000006829e-08, -1.5983519999999974e-06, -8.983519999999912e-07, -2.258730000000153e-07, -5.843200000001103e-07, 2.5300499999991734e-07, 3.193659999999043e-07, 3.306890000000229e-07, -1.151020000000058e-06, -4.1241600000019305e-07, -1.770888000000026e-06]"
XLM,"[-1.234207999999959e-06, -1.4436160000000365e-06, -1.4429440000000848e-06, -9.442880000000431e-07, -9.342079999999365e-07, -9.342079999999365e-07, -7.682239999999563e-07, -1.7809920000000368e-06, -3.529999999946076e-09, 1.2520399999993437e-07, 6.923250000000214e-07, 7.064999999999155e-07, 7.685999999998416e-07, 8.685999999998029e-07]"
LEND,"[3.0305600000002376e-06, 2.9751199999994425e-06, 1.6730778999999863e-05, 1.672283299999966e-05, 6.298100000000085e-06, 2.5137720000001364e-06, -3.436240999999951e-06, -3.511728000000214e-06, -1.384945000000304e-06, -1.1827680000003893e-06, -4.147589999999868e-06, -5.122180000000642e-06, 4.295639999999934e-06, -2.1797760000008547e-06]"
WAVES,"[-4.410519999997753e-06, -4.69654000000208e-06, -4.676109999999234e-06, -4.7169700000004865e-06, -4.410519999997753e-06, -4.410519999997753e-06, 6.356899999993004e-07, -1.0333120000001195e-05, 9.922149999996854e-06, -2.3156619999999962e-05, -3.347332000000147e-05, -3.3042400000002914e-05, -1.298511999999974e-05, 1.3091279999999373e-05]"
GTO,"[-2.876760000000006e-07, -2.8850200000001337e-07, -2.884430000000063e-07, -2.885610000000118e-07, -2.876760000000006e-07, -2.876760000000006e-07, -2.7310300000000546e-07, -2.742240000000104e-07, -2.6885500000001404e-07, -2.575860000000093e-07, -2.568190000000036e-07, -2.5558000000001045e-07, -2.501520000000156e-07, -2.501520000000156e-07]"
ICX,"[4.8830599999999395e-06, 4.836369999999257e-06, -2.1602950000004785e-06, -2.166965000000576e-06, -4.11694000000018e-06, -2.1169399999998453e-06, -1.2931950000000248e-06, 9.337599999997836e-07, 2.2376999999995652e-06, 1.2257160000000989e-06, 1.3275730000000818e-06, 1.397859999999751e-06, 5.056615999999847e-06, 8.115087999999716e-06]"
AION,"[-3.845027999999917e-06, -3.8545059999998965e-06, -3.853828999999948e-06, -3.855182999999984e-06, -3.845027999999917e-06, -3.845027999999917e-06, -3.677808999999893e-06, -3.690671999999895e-06, -3.629064999999959e-06, -3.4997579999999916e-06, -2.4325979999999248e-06, -2.4183599999999527e-06, -2.35598399999995e-06, -2.35598399999995e-06]"
RLC,"[3.124392000000142e-06, 3.026083999999596e-06, 3.033105999999952e-06, 3.0190619999992396e-06, 3.124392000000142e-06, -6.974491999999221e-06, 7.452244999999191e-06, 1.706087999999939e-05, 9.818284999998373e-06, -5.835738000000701e-06, -5.7441270000002654e-06, -5.596140000000416e-06, -1.6591007999999796e-05, -1.6591007999999796e-05]"
IOST,"[-8.938719999999987e-07, -8.945440000000023e-07, -8.544960000000067e-07, -8.545920000000134e-07, -8.538720000000021e-07, -8.638720000000034e-07, -8.52016000000011e-07, -8.829280000000051e-07, -9.385600000000067e-07, -9.793920000000094e-07, -9.787680000000049e-07, -9.77760000000008e-07, -9.733440000000114e-07, -9.733440000000114e-07]"
NANO,"[-2.6547319999998818e-05, -2.664014000000048e-05, 1.9366489999999015e-05, 1.935322999999878e-05, 1.9452680000000555e-05, 1.9452680000000555e-05, 1.050945999999886e-05, 1.0383679999999008e-05, 1.0986099999998888e-05, 7.417440000000441e-06, 6.503760000000635e-06, -3.940599999999739e-06, -4.33064000000094e-06, -4.33064000000094e-06]"
BLZ,"[3.519552000000037e-06, -7.233840000001046e-07, -7.22556000000013e-07, -7.242120000000574e-07, -1.8117919999999233e-06, -1.8117919999999233e-06, -1.6072759999999352e-06, -3.323008000000044e-06, -8.73195000000021e-07, 1.0772559999998322e-06, 2.146482999999949e-06, 2.1640599999998843e-06, 2.2410639999997928e-06, 2.2410639999997928e-06]"
ZIL,"[-1.992239999999701e-07, -1.5479999999901127e-09, -1.381999999994221e-09, -1.714000000020699e-09, 7.760000000217593e-10, 7.760000000217593e-10, 4.177800000001314e-08, 3.862399999998711e-08, -2.462700000000276e-07, -5.145640000000021e-07, -5.124059999999861e-07, -5.08920000000003e-07, -8.93647999999983e-07, -8.93647999999983e-07]"
ONT,"[-9.87879999999608e-07, 3.517960000000153e-06, 5.523139999999982e-06, 6.512779999999774e-06, 6.590480000000509e-06, 6.590480000000509e-06, 7.869939999999299e-06, 7.715199999991374e-07, -7.571000000006212e-07, -7.767720000001477e-06, -8.70038000000073e-06, -7.59160000000092e-06, -7.1150400000008495e-06, -7.1150400000008495e-06]"
STORM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
WAN,"[-2.760800000000119e-06, -2.7916000000002826e-06, -2.7894000000003307e-06, -2.7938000000005127e-06, -2.760800000000119e-06, -2.760800000000119e-06, 2.259852999999812e-06, 9.624671999999834e-06, 9.824689999999858e-06, 1.0244507999999653e-05, 8.331441000000161e-06, 8.37761999999992e-06, 8.579928000000126e-06, 8.579928000000126e-06]"
REP,"[-0.0004502767999999868, -0.000451973600000013, -0.0004518524000000035, -0.00045209480000000466, -0.0004502767999999868, -0.0004502767999999868, -0.00042034040000000773, -0.0004226432000000102, -0.00041161400000000014, -0.000388464800000019, -0.00038688920000000236, -0.00038434400000001643, -0.0003731936000000147, -0.0003731936000000147]"
TUSD,"[-0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01]"
ZEN,"[0.0001157922400000011, 0.0001151154799999965, 0.00011516381999999048, 0.00011506713999999363, 0.0001157922400000011, 0.0001157922400000011, 0.0001277322199999986, 0.00012681375999998857, 0.00013121269999999185, 0.00014044563999998872, 9.10740600000004e-05, 9.208919999998954e-05, 9.653647999999571e-05, 9.653647999999571e-05]"
